1,0,Vanilla Ice Cream,"Creamy ice cream made with real vanilla beans",1
2,0,Chocolate Ice Cream,"Rich dark chocolate ice cream, perfect for dessert",2
3,0,Organic Strawberry Ice Cream,"Sweet organic strawberries in creamy ice cream",3
4,0,6-pack of paycheck pilsners,"Craft beer brewed with a blend of artisanal bread",4
5,0,Seven fabergé easter eggs,"Great Easter Eggs",5
6,0,Painting - the storm on the sea of galilee,"Painting",6
7,0,Smart LED TV,"50-inch smart LED TV with 4K resolution",7
8,0,Luxury Leather Watch,"Elegant leather watch with Swiss movements",8
9,0,Handmade Wool Scarf,"Soft wool scarf, handmade in Peru",9
10,0,Portable Bluetooth Speaker,"High-quality sound in a portable speaker",10
11,0,Professional DSLR Camera,"20 MP DSLR camera with high-speed autofocus",11
12,0,Solar Powered Charger,"Portable charger powered by solar energy",12
13,0,Eco-Friendly Yoga Mat,"Non-slip yoga mat made from natural materials",13
14,0,Thermal Insulated Water Bottle,"Keeps drinks cold for 24 hours or hot for 12",14
15,0,Organic Dog Food,"Grain-free dog food with organic chicken",15
16,0,Electric Skateboard,"High-performance electric skateboard",16
17,0,Gourmet Black Truffle Pasta,"Pasta infused with aromatic black truffles",17
18,0,Compact Home Gym,"All-in-one home gym equipment for various workouts",18
19,0,Minimalist Wallet,"Slim, minimalist wallet crafted from genuine leather",19
20,0,Matcha Tea Set,"Complete set for preparing Matcha tea",20
21,0,Microfiber Towel Set,"Ultra-absorbent microfiber towels for quick drying",21
22,0,Biodegradable Phone Case,"Eco-friendly phone case made from compostable material",22
23,0,Advanced Yoga Kit,"Complete yoga kit with mat, blocks, and strap",23
24,0,Herbal Sleep Tea,"Calming tea blend for improved sleep quality",24
25,0,Natural Acne Skincare Set,"Complete skincare regimen for acne-prone skin",25
26,0,Copper Garden Tools,"Rust-resistant copper garden tools set",26
27,0,High-Performance Running Shoes,"Lightweight and durable running shoes for athletes",27
28,0,Compact Air Fryer,"Energy-efficient air fryer for healthier cooking",28
29,0,Robot Vacuum Cleaner,"Smart robot vacuum cleaner with mapping technology",29
30,0,Wireless Earbuds,"High-fidelity sound with noise cancellation features",30
31,0,Designer Fragrance for Men,"Exclusive men's cologne with a bold scent",31
32,0,Ceramic Dinnerware Set,"Elegant ceramic plates and bowls set",32
33,0,Adjustable Dumbbells,"Space-saving adjustable dumbbells for home workouts",33
